,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,years,inducted,name
10180,downial01,1971,1,LAN,NL,37,92,4,16,2,0,0,10,0,0,6,28,0,0,8,0,5,1,N,Al Downing
10473,downial01,1972,1,LAN,NL,31,66,2,8,1,1,0,2,0,0,1,27,0,0,6,0,0,1,N,Al Downing
10785,downial01,1973,1,LAN,NL,30,57,2,5,2,0,0,3,0,0,5,18,0,0,7,0,1,1,N,Al Downing
11108,downial01,1974,1,LAN,NL,21,29,3,5,0,0,0,2,0,0,1,11,0,0,3,1,1,1,N,Al Downing
11419,downial01,1975,1,LAN,NL,22,16,0,0,0,0,0,1,0,0,2,8,0,0,0,1,0,1,N,Al Downing
11704,downial01,1976,1,LAN,NL,17,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,N,Al Downing
11985,downial01,1977,1,LAN,NL,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Al Downing
9939,hraboal01,1970,1,SLN,NL,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Al Hrabosky
10225,hraboal01,1971,1,SLN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Al Hrabosky
10520,hraboal01,1972,1,SLN,NL,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,N,Al Hrabosky
10837,hraboal01,1973,1,SLN,NL,44,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,N,Al Hrabosky
11160,hraboal01,1974,1,SLN,NL,66,13,2,4,0,1,0,2,0,0,0,2,0,0,1,0,0,1,N,Al Hrabosky
11471,hraboal01,1975,1,SLN,NL,65,15,2,3,0,0,0,4,0,0,2,5,0,0,3,0,0,1,N,Al Hrabosky
11756,hraboal01,1976,1,SLN,NL,68,7,0,0,0,0,0,0,0,0,2,4,0,1,3,0,0,1,N,Al Hrabosky
12041,hraboal01,1977,1,SLN,NL,65,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,N,Al Hrabosky
12324,hraboal01,1978,1,KCA,AL,58,,,,,,,,,,,,,,,,,1,N,Al Hrabosky
12579,hraboal01,1979,1,KCA,AL,58,,,,,,,,,,,,,,,,,1,N,Al Hrabosky
12844,hraboal01,1980,1,ATL,NL,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Al Hrabosky
13093,hraboal01,1981,1,ATL,NL,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,N,Al Hrabosky
13352,hraboal01,1982,1,ATL,NL,31,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,N,Al Hrabosky
7113,kalinal01,1953,1,DET,AL,30,28,9,7,0,0,1,2,1,0,1,5,,1,0,,1,1,Y,Al Kaline
7221,kalinal01,1954,1,DET,AL,138,504,42,139,18,3,4,43,9,5,22,45,,0,7,2,21,1,Y,Al Kaline
7340,kalinal01,1955,1,DET,AL,152,588,121,200,24,8,27,102,6,8,82,57,12,5,0,6,13,1,Y,Al Kaline
7468,kalinal01,1956,1,DET,AL,153,617,96,194,32,10,27,128,7,1,70,55,4,1,1,4,10,1,Y,Al Kaline
7586,kalinal01,1957,1,DET,AL,149,577,83,170,29,4,23,90,11,9,43,38,7,3,6,7,10,1,Y,Al Kaline
7716,kalinal01,1958,1,DET,AL,146,543,84,170,34,7,16,85,7,4,54,47,6,2,3,5,18,1,Y,Al Kaline
7845,kalinal01,1959,1,DET,AL,136,511,86,167,19,2,27,94,10,4,72,42,12,4,2,6,11,1,Y,Al Kaline
7967,kalinal01,1960,1,DET,AL,147,551,77,153,29,4,15,68,19,4,65,47,3,3,5,5,18,1,Y,Al Kaline
8097,kalinal01,1961,1,DET,AL,153,586,116,190,41,7,19,82,14,1,66,42,2,4,4,5,16,1,Y,Al Kaline
8226,kalinal01,1962,1,DET,AL,100,398,78,121,16,6,29,94,4,0,47,39,3,1,2,4,17,1,Y,Al Kaline
8379,kalinal01,1963,1,DET,AL,145,551,89,172,24,3,27,101,6,4,54,48,12,4,3,4,12,1,Y,Al Kaline
8554,kalinal01,1964,1,DET,AL,146,525,77,154,31,5,17,68,4,1,75,51,6,3,2,3,12,1,Y,Al Kaline
8762,kalinal01,1965,1,DET,AL,125,399,72,112,18,2,18,72,6,0,72,49,11,0,0,3,9,1,Y,Al Kaline
8978,kalinal01,1966,1,DET,AL,142,479,85,138,29,1,29,88,5,5,81,66,7,5,1,6,7,1,Y,Al Kaline
9199,kalinal01,1967,1,DET,AL,131,458,94,141,28,2,25,78,8,2,83,47,10,1,2,6,16,1,Y,Al Kaline
9432,kalinal01,1968,1,DET,AL,102,327,49,94,14,1,10,53,6,4,55,39,7,3,1,3,4,1,Y,Al Kaline
9681,kalinal01,1969,1,DET,AL,131,456,74,124,17,0,21,69,1,2,54,61,4,1,0,7,11,1,Y,Al Kaline
9954,kalinal01,1970,1,DET,AL,131,467,64,130,24,4,16,71,2,2,77,49,5,1,3,7,20,1,Y,Al Kaline
10240,kalinal01,1971,1,DET,AL,133,405,69,119,19,2,15,54,4,6,82,57,9,7,1,6,12,1,Y,Al Kaline
10535,kalinal01,1972,1,DET,AL,106,278,46,87,11,2,10,32,1,0,28,33,5,2,1,5,11,1,Y,Al Kaline
10855,kalinal01,1973,1,DET,AL,91,310,40,79,13,0,10,45,4,1,29,28,4,3,0,5,10,1,Y,Al Kaline
11180,kalinal01,1974,1,DET,AL,147,558,71,146,28,2,13,64,2,2,65,75,2,1,1,5,12,1,Y,Al Kaline
14612,leiteal01,1987,1,NYA,AL,4,,,,,,,,,,,,,,,,,1,N,Al Leiter
14855,leiteal01,1988,1,NYA,AL,14,,,,,,,,,,,,,,,,,1,N,Al Leiter
15094,leiteal01,1989,1,NYA,AL,4,,,,,,,,,,,,,,,,,1,N,Al Leiter
15095,leiteal01,1989,2,TOR,AL,1,,,,,,,,,,,,,,,,,1,N,Al Leiter
15323,leiteal01,1990,1,TOR,AL,4,,,,,,,,,,,,,,,,,1,N,Al Leiter
15554,leiteal01,1991,1,TOR,AL,3,,,,,,,,,,,,,,,,,1,N,Al Leiter
15782,leiteal01,1992,1,TOR,AL,1,,,,,,,,,,,,,,,,,1,N,Al Leiter
16022,leiteal01,1993,1,TOR,AL,34,,,,,,,,,,,,,,,,,1,N,Al Leiter
16259,leiteal01,1994,1,TOR,AL,20,,,,,,,,,,,,,,,,,1,N,Al Leiter
16494,leiteal01,1995,1,TOR,AL,28,,,,,,,,,,,,,,,,,1,N,Al Leiter
16727,leiteal01,1996,1,FLO,NL,33,70,3,7,0,0,0,1,0,0,4,45,0,0,7,0,1,1,N,Al Leiter
16954,leiteal01,1997,1,FLO,NL,27,48,2,5,0,0,0,1,0,0,3,25,0,0,2,0,3,1,N,Al Leiter
17180,leiteal01,1998,1,NYN,NL,28,57,1,6,3,0,0,4,0,0,7,32,0,0,5,0,0,1,N,Al Leiter
17387,leiteal01,1999,1,NYN,NL,32,57,1,6,2,0,0,5,0,0,2,29,0,0,11,0,0,1,N,Al Leiter
17574,leiteal01,2000,1,NYN,NL,31,58,1,3,0,0,0,0,0,0,4,33,0,0,9,0,1,1,N,Al Leiter
17745,leiteal01,2001,1,NYN,NL,29,62,2,4,0,1,0,3,0,0,2,28,0,0,0,0,0,1,N,Al Leiter
17898,leiteal01,2002,1,NYN,NL,33,53,3,8,1,0,0,2,0,0,8,28,0,0,3,0,2,1,N,Al Leiter
18047,leiteal01,2003,1,NYN,NL,30,53,2,1,0,0,0,0,0,0,2,28,0,0,5,0,2,1,N,Al Leiter
18186,leiteal01,2004,1,NYN,NL,30,54,0,5,1,0,0,0,0,0,3,30,0,0,2,0,1,1,N,Al Leiter
18300,leiteal01,2005,1,FLO,NL,17,18,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,1,N,Al Leiter
18301,leiteal01,2005,2,NYA,AL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,Al Leiter
4093,lopezal01,1928,1,BRO,NL,3,12,0,0,0,0,0,0,0,,0,0,,0,0,,,13,Y,Al Lopez
4383,lopezal01,1930,1,BRO,NL,128,421,60,130,20,4,6,57,3,,33,35,,2,10,,,13,Y,Al Lopez
4524,lopezal01,1931,1,BRO,NL,111,360,38,97,13,4,0,40,1,,28,33,,1,3,,,13,Y,Al Lopez
4668,lopezal01,1932,1,BRO,NL,126,404,44,111,18,6,1,43,3,,34,35,,0,6,,,13,Y,Al Lopez
4813,lopezal01,1933,1,BRO,NL,126,372,39,112,11,4,3,41,10,,21,39,,0,10,,9,13,Y,Al Lopez
4962,lopezal01,1934,1,BRO,NL,140,439,58,120,23,2,7,54,2,,49,44,,2,14,,15,13,Y,Al Lopez
5104,lopezal01,1935,1,BRO,NL,128,379,50,95,12,4,3,39,2,,35,36,,1,10,,8,13,Y,Al Lopez
5232,lopezal01,1936,1,BSN,NL,128,426,46,103,12,5,7,50,1,,41,41,,2,1,,15,13,Y,Al Lopez
5358,lopezal01,1937,1,BSN,NL,105,334,31,68,11,1,3,38,3,,35,57,,1,8,,15,13,Y,Al Lopez
5477,lopezal01,1938,1,BSN,NL,71,236,19,63,6,1,1,14,5,,11,24,,2,7,,9,13,Y,Al Lopez
5595,lopezal01,1939,1,BSN,NL,131,412,32,104,22,1,8,49,1,,40,45,,0,11,,10,13,Y,Al Lopez
5719,lopezal01,1940,1,BSN,NL,36,119,20,35,3,1,2,17,1,,6,8,,0,1,,3,13,Y,Al Lopez
5720,lopezal01,1940,2,PIT,NL,59,174,15,45,6,2,1,24,5,,13,13,,0,4,,8,13,Y,Al Lopez
5844,lopezal01,1941,1,PIT,NL,114,317,33,84,9,1,5,43,0,,31,23,,0,6,,10,13,Y,Al Lopez
5957,lopezal01,1942,1,PIT,NL,103,289,17,74,8,2,1,26,0,,34,17,,2,6,,10,13,Y,Al Lopez
6066,lopezal01,1943,1,PIT,NL,118,372,40,98,9,4,1,39,2,,44,25,,0,12,,6,13,Y,Al Lopez
6142,lopezal01,1944,1,PIT,NL,115,331,27,76,12,1,1,34,4,,34,24,,1,5,,7,13,Y,Al Lopez
6221,lopezal01,1945,1,PIT,NL,91,243,22,53,8,0,0,18,1,,35,12,,0,2,,5,13,Y,Al Lopez
6323,lopezal01,1946,1,PIT,NL,56,150,13,46,2,0,1,12,1,,23,14,,0,4,,6,13,Y,Al Lopez
6436,lopezal01,1947,1,CLE,AL,61,126,9,33,1,0,0,14,1,1,9,13,,0,1,,1,13,Y,Al Lopez
9488,oliveal01,1968,1,PIT,NL,4,8,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,N,Al Oliver
9740,oliveal01,1969,1,PIT,NL,129,463,55,132,19,2,17,70,8,5,21,38,11,13,3,2,18,1,N,Al Oliver
10020,oliveal01,1970,1,PIT,NL,151,551,63,149,33,5,12,83,1,1,35,35,8,14,2,7,10,1,N,Al Oliver
10309,oliveal01,1971,1,PIT,NL,143,529,69,149,31,7,14,64,4,3,27,72,2,5,2,10,14,1,N,Al Oliver
10608,oliveal01,1972,1,PIT,NL,140,565,88,176,27,4,12,89,2,4,34,44,4,5,1,7,13,1,N,Al Oliver
10932,oliveal01,1973,1,PIT,NL,158,654,90,191,38,7,20,99,6,0,22,52,1,5,0,9,18,1,N,Al Oliver
11253,oliveal01,1974,1,PIT,NL,147,617,96,198,38,12,11,85,10,1,33,58,1,5,1,5,20,1,N,Al Oliver
11547,oliveal01,1975,1,PIT,NL,155,628,90,176,39,8,18,84,4,2,25,73,3,5,0,8,19,1,N,Al Oliver
11832,oliveal01,1976,1,PIT,NL,121,443,62,143,22,5,12,61,6,2,26,29,7,5,1,6,13,1,N,Al Oliver
12121,oliveal01,1977,1,PIT,NL,154,568,75,175,29,6,19,82,13,16,40,38,9,4,2,8,11,1,N,Al Oliver
12393,oliveal01,1978,1,TEX,AL,133,525,65,170,35,5,14,89,8,9,31,41,6,2,1,9,7,1,N,Al Oliver
12650,oliveal01,1979,1,TEX,AL,136,492,69,159,28,4,12,76,4,5,34,34,8,4,1,7,14,1,N,Al Oliver
12909,oliveal01,1980,1,TEX,AL,163,656,96,209,43,3,19,117,5,7,39,47,9,5,1,8,14,1,N,Al Oliver
13157,oliveal01,1981,1,TEX,AL,102,421,53,130,29,1,4,55,3,0,24,28,10,2,0,1,17,1,N,Al Oliver
13422,oliveal01,1982,1,MON,NL,160,617,90,204,43,2,22,109,5,2,61,59,15,4,1,4,11,1,N,Al Oliver
13670,oliveal01,1983,1,MON,NL,157,614,70,184,38,3,8,84,1,3,44,44,17,2,1,3,21,1,N,Al Oliver
13911,oliveal01,1984,1,SFN,NL,91,339,27,101,19,2,0,34,2,2,20,27,4,1,0,0,19,1,N,Al Oliver
13912,oliveal01,1984,2,PHI,NL,28,93,9,29,7,0,0,14,1,2,7,9,2,0,0,0,4,1,N,Al Oliver
14158,oliveal01,1985,1,LAN,NL,35,79,1,20,5,0,0,8,1,0,5,11,0,0,0,1,3,1,N,Al Oliver
14159,oliveal01,1985,2,TOR,AL,61,187,20,47,6,1,5,23,0,0,7,13,2,1,0,0,8,1,N,Al Oliver
2967,schacal01,1919,1,WS1,AL,2,3,2,0,0,0,0,0,0,,1,1,,1,2,,,4,N,Al Schacht
3077,schacal01,1920,1,WS1,AL,22,26,4,5,2,0,0,3,0,0,4,4,,1,1,,,4,N,Al Schacht
3185,schacal01,1921,1,WS1,AL,29,22,3,5,0,0,0,1,0,0,4,2,,0,1,,,4,N,Al Schacht
3572,simmoal01,1924,1,PHA,AL,152,594,69,183,31,9,8,102,16,15,30,60,,2,18,,,10,Y,Al Simmons
3716,simmoal01,1925,1,PHA,AL,153,654,122,253,43,12,24,129,7,14,35,41,,1,6,,,10,Y,Al Simmons
3856,simmoal01,1926,1,PHA,AL,147,583,90,199,53,10,19,109,11,3,48,49,,1,10,,,10,Y,Al Simmons
3994,simmoal01,1927,1,PHA,AL,106,406,86,159,36,11,15,108,10,2,31,30,,1,20,,,10,Y,Al Simmons
4136,simmoal01,1928,1,PHA,AL,119,464,78,163,33,9,15,107,1,4,31,30,,3,11,,,10,Y,Al Simmons
4273,simmoal01,1929,1,PHA,AL,143,581,114,212,41,9,34,157,4,2,31,38,,1,16,,,10,Y,Al Simmons
4419,simmoal01,1930,1,PHA,AL,138,554,152,211,41,16,36,165,9,2,39,34,,1,17,,,10,Y,Al Simmons
4560,simmoal01,1931,1,PHA,AL,128,513,105,200,37,13,22,128,3,3,47,45,,3,0,,,10,Y,Al Simmons
4704,simmoal01,1932,1,PHA,AL,154,670,144,216,28,9,35,151,4,2,47,76,,1,0,,,10,Y,Al Simmons
4845,simmoal01,1933,1,CHA,AL,146,605,85,200,29,10,14,119,5,1,39,49,,2,2,,,10,Y,Al Simmons
4996,simmoal01,1934,1,CHA,AL,138,558,102,192,36,7,18,104,3,2,53,58,,2,0,,,10,Y,Al Simmons
5134,simmoal01,1935,1,CHA,AL,128,525,68,140,22,7,16,79,4,6,33,43,,2,1,,,10,Y,Al Simmons
5260,simmoal01,1936,1,DET,AL,143,568,96,186,38,6,13,112,6,4,49,35,,2,1,,,10,Y,Al Simmons
5384,simmoal01,1937,1,WS1,AL,103,419,60,117,21,10,8,84,3,2,27,35,,4,3,,,10,Y,Al Simmons
5505,simmoal01,1938,1,WS1,AL,125,470,79,142,23,6,21,95,2,1,38,40,,2,2,,,10,Y,Al Simmons
5623,simmoal01,1939,1,BSN,NL,93,330,39,93,17,5,7,43,0,,22,40,,2,4,,13,10,Y,Al Simmons
5624,simmoal01,1939,2,CIN,NL,9,21,0,3,0,0,0,1,0,,2,3,,0,0,,0,10,Y,Al Simmons
5749,simmoal01,1940,1,PHA,AL,37,81,7,25,4,0,1,19,0,0,4,8,,0,0,,4,10,Y,Al Simmons
5873,simmoal01,1941,1,PHA,AL,9,24,1,3,1,0,0,1,0,0,1,2,,0,0,,2,10,Y,Al Simmons
6086,simmoal01,1943,1,BOS,AL,40,133,9,27,5,0,1,12,0,1,8,21,,0,0,,3,10,Y,Al Simmons
6160,simmoal01,1944,1,PHA,AL,4,6,1,3,0,0,0,2,0,0,0,0,,0,0,,1,10,Y,Al Simmons
7,spaldal01,1871,1,BS1,,31,144,43,39,10,1,1,31,2,0,8,1,,,,,,2,Y,Al Spalding
21,spaldal01,1872,1,BS1,,48,237,60,84,11,5,0,47,3,0,3,1,,,,,,2,Y,Al Spalding
36,spaldal01,1873,1,BS1,,60,322,83,106,18,2,1,60,1,0,3,1,,,,,,2,Y,Al Spalding
51,spaldal01,1874,1,BS1,,71,362,80,119,13,1,0,54,2,1,3,0,,,,,,2,Y,Al Spalding
69,spaldal01,1875,1,BS1,,74,343,68,107,15,3,0,56,2,2,3,3,,,,,,2,Y,Al Spalding
83,spaldal01,1876,1,CHN,NL,66,292,54,91,14,2,0,44,,,6,3,,,,,,2,Y,Al Spalding
97,spaldal01,1877,1,CHN,NL,60,254,29,65,7,6,0,35,,,3,16,,,,,,2,Y,Al Spalding
113,spaldal01,1878,1,CHN,NL,1,4,0,2,0,0,0,0,,,0,0,,,,,,2,Y,Al Spalding
12189,trammal01,1977,1,DET,AL,19,43,6,8,0,0,0,0,0,0,4,12,0,0,1,0,1,15,N,Alan Trammell
